year;month;ff4_hf;sp500_hf;us_rgdp;us_gdpdef;gs1;logsp500;ebpnew
2001;2;0.0;0.0;451.41880267761;517.048399503815;4.68;717.453286731641;2.77
2001;3;-0.07;-0.60118709;451.213561502086;517.105201550216;4.3;707.82150960109;2.96
2001;4;-0.43;2.33886747;450.853923434852;517.275414357269;3.98;708.157412328434;2.93
2001;5;-0.125;0.373928413;450.375188956289;517.784321308016;3.78;714.706347560447;2.68
2001;6;0.075;-0.484099172;449.845764564555;518.009673516061;3.58;712.18257945073;2.69
2001;7;0.0;0.0;449.20328423741;517.840706987548;3.62;709.377831019291;2.73
2001;8;-0.005;-1.487642626;449.088440280901;517.840706987548;3.47;707.199772237619;2.88
2001;9;0.0;0.0;448.580652680424;518.234519029562;2.82;695.142760743832;3.3
2001;10;-0.04;-0.335992474;448.30613073499;517.953383055807;2.33;698.155391758288;3.34
2001;11;-0.145;0.611852244;447.699584726458;517.897060891547;2.18;702.9689685761;3.16
2001;12;-0.03;0.27785059;447.656833745718;517.840706987548;2.22;704.309877874832;2.97
2002;1;0.0225;-0.061481009;448.320140229835;518.009673516061;2.16;703.896773495018;2.83
2002;2;0.0;0.0;448.331662698096;518.178355029209;2.23;700.367436427497;2.98
2002;3;-0.04;-0.381887616;449.052895967589;518.458860121969;2.57;705.080745477188;2.82
2002;4;0.0;0.0;449.539996184156;518.906038061109;2.48;701.385252318883;2.82
2002;5;-0.02;-0.304581012;449.940959030893;519.017520792833;2.35;698.402163443559;2.92
2002;6;0.005;-0.47917665;450.762460954537;519.07321558681;2.2;692.167790782249;3.02
2002;7;0.0;0.0;450.730263890587;519.295685089021;1.96;680.637571768887;3.24
2002;8;-0.04;-0.502894117;450.619148538231;519.573077777294;1.76;681.624287847603;3.32
2002;9;-0.005;-1.027705194;450.704013407891;519.739144795808;1.72;676.597279669034;3.53
2002;10;0.0;0.0;450.495529774197;519.960139360888;1.65;675.066862673608;3.79
2002;11;-0.075;-0.523147641;451.054187365929;520.12556537049;1.49;681.336767347524;3.57
2002;12;0.005;-0.290472073;450.496524636837;520.290718174338;1.45;680.148323689919;3.42
2003;1;0.025;0.157159488;451.345065209227;520.729796816087;1.36;679.776182560058;3.3
2003;2;0.0;0.0;451.46380730202;521.275947818639;1.3;672.985991214106;3.15
2003;3;-0.01;-0.45161365;451.200610167257;521.439213161028;1.24;674.126376332008;3.14
2003;4;0.0;0.0;450.603138636349;521.057845224003;1.27;679.125517002326;2.89
2003;5;-0.05;0.156987548;450.575860693268;520.893955539682;1.18;684.157274052169;2.81
2003;6;0.105;-0.192513261;450.703572164423;521.003245168046;1.01;689.568269774787;2.86
2003;7;0.0;0.0;451.216085719483;521.330399222108;1.12;690.026731401623;2.64
2003;8;0.0;-0.062137742;450.997669937485;521.764946348058;1.31;689.723008292563;2.57
2003;9;0.0;-0.126244091;451.640345107699;522.089621957945;1.24;692.700873590402;2.52
2003;10;-0.01;-0.028431543;451.763430783541;521.981513839308;1.25;694.575409207335;2.44
2003;11;0.0;0.0;452.431689988461;522.035582507832;1.34;695.64502005209;2.36
2003;12;-0.005;-0.112501758;452.461284591401;522.305488204749;1.31;698.53087371972;2.33
2004;1;0.01;-0.910674622;452.613347213305;522.735827760754;1.24;703.22005172454;2.29
2004;2;0.0;0.0;453.214777824221;522.950305054768;1.24;704.172657483505;2.18
2004;3;-0.01;-0.035129755;452.813902239344;523.164323328004;1.19;702.463123670102;2.29
2004;4;0.0;0.0;453.184652156925;523.324536980432;1.43;703.29419510711;2.11
2004;5;-0.0075;0.361627188;453.904427227599;523.750522715128;1.78;700.558954333049;2.03
2004;6;-0.015;0.281200966;453.12114334698;524.121777450746;2.12;703.241241158155;2.05
2004;7;0.0;0.0;453.865531315346;524.227597566441;2.1;700.836954901473;2.12
2004;8;0.04;-0.308386051;453.932627987283;524.280465661778;2.02;699.296002499636;2.18
2004;9;-0.005;0.026194049;454.059646423099;524.597088617583;2.12;701.899249297269;2.14
2004;10;0.0;0.0;454.909177696822;525.122575901419;2.23;701.858978497976;2.11
2004;11;-0.01;0.107266674;455.157213241921;525.59316500516;2.5;706.385263423526;2.01
2004;12;-0.005;0.064155439;455.950837342015;525.59316500516;2.67;708.941828564621;1.92
2005;1;0.0;0.0;456.309845253602;525.540986553676;2.86;707.446391937092;1.8
2005;2;0.0;0.091875905;457.033129859879;525.957653823161;3.03;708.976845489826;1.65
2005;3;0.01;-0.34398799;456.897911881917;526.320818943447;3.3;708.581777885571;1.56
2005;4;0.0;0.0;457.112931426299;526.631057041295;3.32;705.998697588172;1.71
2005;5;0.01;0.109347017;457.202903478985;526.579417484248;3.33;707.18110269692;1.86
2005;6;0.015;-0.430307297;457.651656394731;526.631057041295;3.36;709.195008015777;1.86
2005;7;0.0;0.0;457.334509765909;527.248660651351;3.64;710.844051979305;1.78
2005;8;-0.015;0.21449638;457.659888600566;527.86247332023;3.87;711.010002698156;1.7
2005;9;0.035;-0.131399117;455.703505723611;529.229929422247;3.85;711.144686151228;1.83
2005;10;0.0;0.0;456.909938664332;529.380721107015;4.18;708.335429001527;1.83
2005;11;0.0;0.226501978;458.027690326482;528.877195370451;4.33;712.07434384196;1.86
2005;12;-0.005;0.523259271;458.542859682905;528.877195370451;4.35;714.050850907478;1.85
2006;1;0.025;-0.255846243;458.700519702996;529.481122721875;4.45;715.362267686982;1.82
2006;2;0.0;0.0;458.74266972103;529.531285752774;4.68;715.199473859108;1.7
2006;3;0.03;-0.625296939;458.967881187005;529.681624042177;4.77;716.529252751521;1.69
2006;4;0.0;0.0;459.271089031332;530.181125580229;4.9;717.178738260158;1.69
2006;5;0.035;-0.206509981;459.296500486973;530.479633264575;5;716.240524926366;1.64
2006;6;-0.03;0.548597454;459.612641408615;530.727710791951;5.16;713.343162007462;1.67
2006;7;0.0;0.0;459.561366758062;531.271324683177;5.22;713.905745799771;1.67
2006;8;-0.035;-0.242295663;459.999280645896;531.713912078862;5.08;716.018575092124;1.71
2006;9;0.0;-0.26589935;459.832984410202;531.222027171703;4.97;718.367342701367;1.71
2006;10;-0.005;-0.0638338;459.718236814589;530.777252531879;5.01;721.772218961176;1.7
2006;11;0.0;0.0;459.676193551755;530.826769740121;5.01;723.608012989593;1.61
2006;12;-0.005;0.253255379;460.690368261424;531.369846858634;4.94;725.588784044306;1.65
2007;1;0.0;0.502354349;460.351481661993;531.535637464257;5.06;726.133744521062;1.58
2007;2;0.0;0.0;461.28932859276;531.922722377611;5.05;727.572618266272;1.55
2007;3;-0.01;0.821834487;461.46719013769;532.441387126931;4.92;724.917951988025;1.7
